Fortification,Modern Country,Latitude,Longitude,Accuracy,Pop_600AD_k(50%CI)
Singidunum,Serbia,44.822,20.452,Exact,8-15
Taurunum,Serbia,44.851,20.405,Exact,1-3
Sirmium,Serbia,44.967,19.611,Exact,10-20
Bassianae,Serbia,45.009,19.912,Exact,1-3
Acumincum,Serbia,45.142,20.239,Exact,1-3
Cusum (Petrovaradin),Serbia,45.241,19.869,Exact,1-3
Bononia,Bulgaria,43.993,22.878,Exact,1-3
Ratiaria,Bulgaria,43.744,22.613,Exact,1-3
Timacum Minus,Serbia,43.83,22.32,Exact,1-3
Timacum Maius,Serbia,43.566,22.246,Exact,1-3
Cuppae (Golubac),Serbia,44.65,21.633,Exact,1-3
Viminacium,Serbia,44.74,21.18,Exact,1-3
Pontes,Serbia,44.638,22.615,Exact,1-3
Dierna,Romania,44.73,22.405,Exact,1-3
Drobeta,Romania,44.643,22.657,Exact,1-3
Egeta,Serbia,44.18,22.585,Exact,1-3
Novae,Bulgaria,43.63,25.346,Exact,1-3
Oescus,Bulgaria,43.71,24.466,Exact,1-3
Castra Martis,Bulgaria,43.889,22.689,Exact,0.2-1
Transmarisca,Bulgaria,44.05,26.606,Exact,1-3
Durostorum,Bulgaria,44.116,27.267,Exact,1-3
Sucidava,Romania,43.754,24.353,Exact,1-3
Axiopolis,Romania,44.351,28.033,Exact,3-8
Noviodunum,Romania,45.277,28.457,Exact,1-3
Capidava,Romania,44.514,27.96,Exact,1-3
Carsium,Romania,44.683,27.945,Exact,1-3
Ulpiana,Kosovo,42.593,21.191,Exact,5-10
Justiniana Prima,Serbia,42.985,21.446,Exact,8-12
Tetrapyrgia (Taurisium),Serbia,43.0,21.33,Exact,1-3
Naissus,Serbia,43.319,21.895,Exact,15-25
Serdica,Bulgaria,42.698,23.323,Exact,25-40
Philippopolis,Bulgaria,42.135,24.745,Exact,20-35
Adrianople,Turkey,41.677,26.561,Exact,20-35
Heraclea Lyncestis,North Macedonia,41.035,21.338,Exact,5-10
Thessalonica,Greece,40.64,22.944,Exact,60-120
Thermopylae Wall,Greece,38.797,22.536,Exact,0.2-1
Isthmus Wall,Greece,37.923,22.993,Exact,0.2-1
Cassandria Wall (Potidaea),Greece,40.189,23.303,Exact,0.2-1
Euroea (Ioannina),Greece,39.667,20.85,Exact,1-3
Nicopolis Epirus,Greece,38.967,20.75,Exact,5-10
Phoenice,Albania,39.952,20.057,Exact,1-3
Dyrrhachium,Albania,41.317,19.442,Exact,15-30
Scupi,North Macedonia,42.02,21.432,Exact,5-10
Pezium (unlocated),Greece,41.873,24.754,Estimated,1-3
Martius (unlocated),Greece,43.66,22.993,Estimated,1-3
Boulpiansus (unlocated),Albania,40.78,20.78,Estimated,1-3
Boulpiansus,,40.29,24.331,Estimated,1-3
Episterba,,43.006,23.54,Estimated,1-3
Sceminites,,40.103,24.85,Estimated,1-3
Aona,,44.162,21.062,Estimated,1-3
Stephaniacum,,40.909,20.917,Estimated,1-3
Argus,,41.521,22.624,Estimated,1-3
Aliula,,42.16,21.456,Estimated,1-3
Dyrrachin,,43.059,20.697,Estimated,1-3
St. Sabianus,,41.461,21.832,Estimated,1-3
Gemenus,,42.28,23.926,Estimated,1-3
