scenario,substrate_config,region,year_260_share_mean,year_260_share_sd,year_260_pop_mean
slavic1,none,Carpatho-Balkan Interior,0.014253,0.020056,2362.60
slavic1,none,Pannonian Plain,0.310813,0.189188,453.80
slavic1,none,Aegean Littoral,0.000000,0.000000,806.70
slavic1,none,Peloponnese,0.000000,0.000000,109.10
slavic1,none,Albanian Highlands,0.000000,0.000000,217.20
slavic1,none,Adriatic Coastal,0.000500,0.001581,201.00
slavic1,none,Lower Danubian Frontier,0.822842,0.082343,761.30
slavic1,none,unassigned,0.000000,0.000000,0.00
slavic1,uniform,Carpatho-Balkan Interior,0.098699,0.073897,2368.80
slavic1,uniform,Pannonian Plain,0.140241,0.191193,432.70
slavic1,uniform,Aegean Littoral,0.000000,0.000000,882.70
slavic1,uniform,Peloponnese,0.000000,0.000000,118.80
slavic1,uniform,Albanian Highlands,0.000000,0.000000,277.20
slavic1,uniform,Adriatic Coastal,0.000000,0.000000,190.00
slavic1,uniform,Lower Danubian Frontier,0.865882,0.084472,695.00
slavic1,uniform,unassigned,0.000000,0.000000,0.00
slavic1,cbi_only,Carpatho-Balkan Interior,0.107560,0.051226,2458.40
slavic1,cbi_only,Pannonian Plain,0.258760,0.290104,415.80
slavic1,cbi_only,Aegean Littoral,0.000816,0.002201,845.70
slavic1,cbi_only,Peloponnese,0.000000,0.000000,116.50
slavic1,cbi_only,Albanian Highlands,0.000000,0.000000,241.10
slavic1,cbi_only,Adriatic Coastal,0.000000,0.000000,245.00
slavic1,cbi_only,Lower Danubian Frontier,0.876178,0.055944,671.20
slavic1,cbi_only,unassigned,0.000000,0.000000,0.00
slavic2,none,Carpatho-Balkan Interior,0.068297,0.051333,3938.30
slavic2,none,Pannonian Plain,0.301445,0.276702,509.90
slavic2,none,Aegean Littoral,0.000055,0.000173,1416.30
slavic2,none,Peloponnese,0.000000,0.000000,166.50
slavic2,none,Albanian Highlands,0.000000,0.000000,508.30
slavic2,none,Adriatic Coastal,0.000000,0.000000,477.70
slavic2,none,Lower Danubian Frontier,0.887567,0.084269,1269.80
slavic2,none,unassigned,0.000000,0.000000,0.00
slavic2,uniform,Carpatho-Balkan Interior,0.294530,0.152186,4179.60
slavic2,uniform,Pannonian Plain,0.497256,0.323432,561.30
slavic2,uniform,Aegean Littoral,0.018197,0.035747,1347.80
slavic2,uniform,Peloponnese,0.000000,0.000000,141.30
slavic2,uniform,Albanian Highlands,0.000169,0.000535,528.20
slavic2,uniform,Adriatic Coastal,0.000000,0.000000,410.10
slavic2,uniform,Lower Danubian Frontier,0.954966,0.049313,1304.50
slavic2,uniform,unassigned,0.000000,0.000000,0.00
slavic2,cbi_only,Carpatho-Balkan Interior,0.338852,0.120369,4439.80
slavic2,cbi_only,Pannonian Plain,0.534819,0.286086,760.40
slavic2,cbi_only,Aegean Littoral,0.000556,0.001213,1378.60
slavic2,cbi_only,Peloponnese,0.000000,0.000000,169.60
slavic2,cbi_only,Albanian Highlands,0.000000,0.000000,592.30
slavic2,cbi_only,Adriatic Coastal,0.000000,0.000000,351.90
slavic2,cbi_only,Lower Danubian Frontier,0.948438,0.063784,1387.50
slavic2,cbi_only,unassigned,0.000000,0.000000,0.00
slavic3,none,Carpatho-Balkan Interior,0.566645,0.144962,7974.10
slavic3,none,Pannonian Plain,0.850770,0.096497,1127.60
slavic3,none,Aegean Littoral,0.054473,0.069258,2075.00
slavic3,none,Peloponnese,0.000000,0.000000,241.30
slavic3,none,Albanian Highlands,0.078103,0.246985,811.90
slavic3,none,Adriatic Coastal,0.166346,0.358350,722.40
slavic3,none,Lower Danubian Frontier,0.983897,0.031989,3105.80
slavic3,none,unassigned,0.000000,0.000000,0.00
slavic3,uniform,Carpatho-Balkan Interior,0.924681,0.084521,13412.10
slavic3,uniform,Pannonian Plain,0.828790,0.153571,1181.40
slavic3,uniform,Aegean Littoral,0.355828,0.239062,2751.30
slavic3,uniform,Peloponnese,0.000000,0.000000,201.40
slavic3,uniform,Albanian Highlands,0.563988,0.411103,1659.10
slavic3,uniform,Adriatic Coastal,0.205418,0.354418,717.70
slavic3,uniform,Lower Danubian Frontier,0.999130,0.000726,3152.60
slavic3,uniform,unassigned,0.000000,0.000000,0.00
slavic3,cbi_only,Carpatho-Balkan Interior,0.882650,0.099721,13110.40
slavic3,cbi_only,Pannonian Plain,0.745489,0.252671,895.60
slavic3,cbi_only,Aegean Littoral,0.224342,0.188310,2199.20
slavic3,cbi_only,Peloponnese,0.000000,0.000000,235.50
slavic3,cbi_only,Albanian Highlands,0.072240,0.195361,724.20
slavic3,cbi_only,Adriatic Coastal,0.000000,0.000000,529.20
slavic3,cbi_only,Lower Danubian Frontier,0.995044,0.011248,3378.10
slavic3,cbi_only,unassigned,0.000000,0.000000,0.00
arabic,none,Carpatho-Balkan Interior,0.056687,0.007685,4048.00
arabic,none,Pannonian Plain,1.000000,0.000000,206.10
arabic,none,Aegean Littoral,1.000000,0.000000,186.20
arabic,none,Peloponnese,1.000000,0.000000,24.10
arabic,none,Albanian Highlands,1.000000,0.000000,67.40
arabic,none,Adriatic Coastal,1.000000,0.000000,33.70
arabic,none,Lower Danubian Frontier,1.000000,0.000000,577.40
arabic,none,unassigned,1.000000,0.000000,738.70
arabic,uniform,Carpatho-Balkan Interior,0.056687,0.007685,4048.00
arabic,uniform,Pannonian Plain,1.000000,0.000000,206.10
arabic,uniform,Aegean Littoral,1.000000,0.000000,186.20
arabic,uniform,Peloponnese,1.000000,0.000000,24.10
arabic,uniform,Albanian Highlands,1.000000,0.000000,67.40
arabic,uniform,Adriatic Coastal,1.000000,0.000000,33.70
arabic,uniform,Lower Danubian Frontier,1.000000,0.000000,577.40
arabic,uniform,unassigned,1.000000,0.000000,738.70
arabic,cbi_only,Carpatho-Balkan Interior,0.056687,0.007685,4048.00
arabic,cbi_only,Pannonian Plain,1.000000,0.000000,206.10
arabic,cbi_only,Aegean Littoral,1.000000,0.000000,186.20
arabic,cbi_only,Peloponnese,1.000000,0.000000,24.10
arabic,cbi_only,Albanian Highlands,1.000000,0.000000,67.40
arabic,cbi_only,Adriatic Coastal,1.000000,0.000000,33.70
arabic,cbi_only,Lower Danubian Frontier,1.000000,0.000000,577.40
arabic,cbi_only,unassigned,1.000000,0.000000,738.70
