substrate_fraction,revassim_rate,cbi_year260_share_mean,cbi_year260_share_sd,cbi_year260_pop_mean
0.10,0.000,0.352075,0.100014,2455.00
0.10,0.005,0.202678,0.029937,2482.30
0.10,0.015,0.078523,0.031610,2425.30
0.10,0.030,0.053984,0.043107,2568.60
0.10,0.045,0.036275,0.027790,2412.90
0.20,0.000,0.505697,0.081757,2283.00
0.20,0.005,0.281813,0.070462,2257.80
0.20,0.015,0.154739,0.079198,2562.80
0.20,0.030,0.057536,0.057842,2381.30
0.20,0.045,0.027224,0.027371,2243.20
0.30,0.000,0.630764,0.098186,2593.50
0.30,0.005,0.477658,0.056528,2320.90
0.30,0.015,0.230215,0.089648,2197.40
0.30,0.030,0.150775,0.068689,2387.30
0.30,0.045,0.107560,0.051226,2458.40
0.40,0.000,0.838958,0.052247,2520.60
0.40,0.005,0.717850,0.088588,2427.70
0.40,0.015,0.583766,0.085416,2416.60
0.40,0.030,0.243757,0.116611,2101.70
0.40,0.045,0.228776,0.133318,2311.60
