scenario,substrate_config,substrate_fraction,revassim_rate,region,year_260_slavic_share_mean,year_260_slavic_share_sd,year_260_pop_mean,run_count
slavic1,none,0.30,0.000,Carpatho-Balkan Interior,0.256883,0.069718,2565.20,10
slavic1,none,0.30,0.000,Pannonian Plain,0.684776,0.151469,515.30,10
slavic1,none,0.30,0.000,Aegean Littoral,0.297161,0.089248,965.40,10
slavic1,none,0.30,0.000,Peloponnese,0.202339,0.185033,99.50,10
slavic1,none,0.30,0.000,Albanian Highlands,0.658870,0.196391,257.60,10
slavic1,none,0.30,0.000,Adriatic Coastal,0.585922,0.213233,223.80,10
slavic1,none,0.30,0.000,Lower Danubian Frontier,0.848182,0.075252,633.40,10
slavic1,none,0.30,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,none,0.30,0.005,Carpatho-Balkan Interior,0.132006,0.024053,2694.80,10
slavic1,none,0.30,0.005,Pannonian Plain,0.491426,0.176957,368.00,10
slavic1,none,0.30,0.005,Aegean Littoral,0.106099,0.037458,874.90,10
slavic1,none,0.30,0.005,Peloponnese,0.072000,0.087558,68.10,10
slavic1,none,0.30,0.005,Albanian Highlands,0.216842,0.127233,320.40,10
slavic1,none,0.30,0.005,Adriatic Coastal,0.234154,0.164872,182.70,10
slavic1,none,0.30,0.005,Lower Danubian Frontier,0.812579,0.097053,688.10,10
slavic1,none,0.30,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,none,0.30,0.015,Carpatho-Balkan Interior,0.068528,0.040360,2306.10,10
slavic1,none,0.30,0.015,Pannonian Plain,0.490158,0.270857,391.60,10
slavic1,none,0.30,0.015,Aegean Littoral,0.013999,0.009519,767.90,10
slavic1,none,0.30,0.015,Peloponnese,0.007709,0.016897,110.50,10
slavic1,none,0.30,0.015,Albanian Highlands,0.031220,0.029404,273.50,10
slavic1,none,0.30,0.015,Adriatic Coastal,0.037276,0.041082,209.00,10
slavic1,none,0.30,0.015,Lower Danubian Frontier,0.854632,0.095650,749.60,10
slavic1,none,0.30,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,none,0.30,0.030,Carpatho-Balkan Interior,0.028111,0.022871,2399.10,10
slavic1,none,0.30,0.030,Pannonian Plain,0.192764,0.233359,327.70,10
slavic1,none,0.30,0.030,Aegean Littoral,0.001399,0.002720,787.90,10
slavic1,none,0.30,0.030,Peloponnese,0.004950,0.011019,120.30,10
slavic1,none,0.30,0.030,Albanian Highlands,0.000000,0.000000,233.60,10
slavic1,none,0.30,0.030,Adriatic Coastal,0.000893,0.002824,135.20,10
slavic1,none,0.30,0.030,Lower Danubian Frontier,0.835260,0.076256,602.40,10
slavic1,none,0.30,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,none,0.30,0.045,Carpatho-Balkan Interior,0.014253,0.020056,2362.60,10
slavic1,none,0.30,0.045,Pannonian Plain,0.310813,0.189188,453.80,10
slavic1,none,0.30,0.045,Aegean Littoral,0.000000,0.000000,806.70,10
slavic1,none,0.30,0.045,Peloponnese,0.000000,0.000000,109.10,10
slavic1,none,0.30,0.045,Albanian Highlands,0.000000,0.000000,217.20,10
slavic1,none,0.30,0.045,Adriatic Coastal,0.000500,0.001581,201.00,10
slavic1,none,0.30,0.045,Lower Danubian Frontier,0.822842,0.082343,761.30,10
slavic1,none,0.30,0.045,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.10,0.000,Carpatho-Balkan Interior,0.343685,0.086708,2463.90,10
slavic1,uniform,0.10,0.000,Pannonian Plain,0.618343,0.155915,431.70,10
slavic1,uniform,0.10,0.000,Aegean Littoral,0.459550,0.110006,885.50,10
slavic1,uniform,0.10,0.000,Peloponnese,0.605829,0.236114,139.70,10
slavic1,uniform,0.10,0.000,Albanian Highlands,0.719090,0.132951,284.30,10
slavic1,uniform,0.10,0.000,Adriatic Coastal,0.596037,0.219544,198.80,10
slavic1,uniform,0.10,0.000,Lower Danubian Frontier,0.854507,0.067335,687.10,10
slavic1,uniform,0.10,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.10,0.005,Carpatho-Balkan Interior,0.174730,0.023395,2479.50,10
slavic1,uniform,0.10,0.005,Pannonian Plain,0.447875,0.243121,504.10,10
slavic1,uniform,0.10,0.005,Aegean Littoral,0.153335,0.089786,892.80,10
slavic1,uniform,0.10,0.005,Peloponnese,0.166039,0.185511,69.90,10
slavic1,uniform,0.10,0.005,Albanian Highlands,0.305588,0.195784,273.40,10
slavic1,uniform,0.10,0.005,Adriatic Coastal,0.311111,0.213357,191.90,10
slavic1,uniform,0.10,0.005,Lower Danubian Frontier,0.886515,0.081732,602.20,10
slavic1,uniform,0.10,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.10,0.015,Carpatho-Balkan Interior,0.075260,0.049918,2420.20,10
slavic1,uniform,0.10,0.015,Pannonian Plain,0.290515,0.221657,470.20,10
slavic1,uniform,0.10,0.015,Aegean Littoral,0.016299,0.013911,826.00,10
slavic1,uniform,0.10,0.015,Peloponnese,0.019890,0.030014,78.10,10
slavic1,uniform,0.10,0.015,Albanian Highlands,0.032358,0.033475,204.60,10
slavic1,uniform,0.10,0.015,Adriatic Coastal,0.064256,0.082078,197.30,10
slavic1,uniform,0.10,0.015,Lower Danubian Frontier,0.829843,0.078023,689.30,10
slavic1,uniform,0.10,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.10,0.030,Carpatho-Balkan Interior,0.029696,0.028207,2403.10,10
slavic1,uniform,0.10,0.030,Pannonian Plain,0.368390,0.266498,315.70,10
slavic1,uniform,0.10,0.030,Aegean Littoral,0.000960,0.001454,846.30,10
slavic1,uniform,0.10,0.030,Peloponnese,0.000000,0.000000,106.60,10
slavic1,uniform,0.10,0.030,Albanian Highlands,0.000370,0.001171,262.40,10
slavic1,uniform,0.10,0.030,Adriatic Coastal,0.000000,0.000000,182.70,10
slavic1,uniform,0.10,0.030,Lower Danubian Frontier,0.786540,0.110795,645.60,10
slavic1,uniform,0.10,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.10,0.045,Carpatho-Balkan Interior,0.006065,0.008860,2500.10,10
slavic1,uniform,0.10,0.045,Pannonian Plain,0.161211,0.226448,402.00,10
slavic1,uniform,0.10,0.045,Aegean Littoral,0.000000,0.000000,944.40,10
slavic1,uniform,0.10,0.045,Peloponnese,0.000000,0.000000,110.10,10
slavic1,uniform,0.10,0.045,Albanian Highlands,0.000000,0.000000,311.00,10
slavic1,uniform,0.10,0.045,Adriatic Coastal,0.000000,0.000000,143.80,10
slavic1,uniform,0.10,0.045,Lower Danubian Frontier,0.814759,0.099564,656.20,10
slavic1,uniform,0.10,0.045,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.20,0.000,Carpatho-Balkan Interior,0.507454,0.080157,2547.70,10
slavic1,uniform,0.20,0.000,Pannonian Plain,0.582550,0.175621,426.30,10
slavic1,uniform,0.20,0.000,Aegean Littoral,0.588595,0.119662,902.40,10
slavic1,uniform,0.20,0.000,Peloponnese,0.656441,0.277517,110.20,10
slavic1,uniform,0.20,0.000,Albanian Highlands,0.797009,0.128002,278.70,10
slavic1,uniform,0.20,0.000,Adriatic Coastal,0.713558,0.216417,215.70,10
slavic1,uniform,0.20,0.000,Lower Danubian Frontier,0.899642,0.048299,688.70,10
slavic1,uniform,0.20,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.20,0.005,Carpatho-Balkan Interior,0.297656,0.099325,2118.20,10
slavic1,uniform,0.20,0.005,Pannonian Plain,0.440246,0.192805,483.60,10
slavic1,uniform,0.20,0.005,Aegean Littoral,0.249149,0.115278,842.00,10
slavic1,uniform,0.20,0.005,Peloponnese,0.175946,0.184861,97.60,10
slavic1,uniform,0.20,0.005,Albanian Highlands,0.508091,0.274470,287.30,10
slavic1,uniform,0.20,0.005,Adriatic Coastal,0.311021,0.271508,174.30,10
slavic1,uniform,0.20,0.005,Lower Danubian Frontier,0.875183,0.074662,681.10,10
slavic1,uniform,0.20,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.20,0.015,Carpatho-Balkan Interior,0.103059,0.047625,2270.70,10
slavic1,uniform,0.20,0.015,Pannonian Plain,0.431049,0.235913,493.20,10
slavic1,uniform,0.20,0.015,Aegean Littoral,0.023406,0.014351,796.50,10
slavic1,uniform,0.20,0.015,Peloponnese,0.012834,0.015610,96.10,10
slavic1,uniform,0.20,0.015,Albanian Highlands,0.082880,0.173368,220.20,10
slavic1,uniform,0.20,0.015,Adriatic Coastal,0.024693,0.040887,203.20,10
slavic1,uniform,0.20,0.015,Lower Danubian Frontier,0.888379,0.062064,760.80,10
slavic1,uniform,0.20,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.20,0.030,Carpatho-Balkan Interior,0.048144,0.026619,2531.20,10
slavic1,uniform,0.20,0.030,Pannonian Plain,0.200775,0.203845,398.30,10
slavic1,uniform,0.20,0.030,Aegean Littoral,0.005110,0.011462,913.50,10
slavic1,uniform,0.20,0.030,Peloponnese,0.000000,0.000000,79.70,10
slavic1,uniform,0.20,0.030,Albanian Highlands,0.004082,0.012907,251.10,10
slavic1,uniform,0.20,0.030,Adriatic Coastal,0.000772,0.002442,192.30,10
slavic1,uniform,0.20,0.030,Lower Danubian Frontier,0.847434,0.058589,638.10,10
slavic1,uniform,0.20,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.20,0.045,Carpatho-Balkan Interior,0.042476,0.040493,2364.20,10
slavic1,uniform,0.20,0.045,Pannonian Plain,0.289634,0.235035,420.80,10
slavic1,uniform,0.20,0.045,Aegean Littoral,0.000000,0.000000,878.90,10
slavic1,uniform,0.20,0.045,Peloponnese,0.000000,0.000000,123.80,10
slavic1,uniform,0.20,0.045,Albanian Highlands,0.000000,0.000000,236.20,10
slavic1,uniform,0.20,0.045,Adriatic Coastal,0.000000,0.000000,172.30,10
slavic1,uniform,0.20,0.045,Lower Danubian Frontier,0.794224,0.101357,703.10,10
slavic1,uniform,0.20,0.045,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.000,Carpatho-Balkan Interior,0.654178,0.089326,2260.90,10
slavic1,uniform,0.30,0.000,Pannonian Plain,0.676332,0.139014,419.60,10
slavic1,uniform,0.30,0.000,Aegean Littoral,0.745758,0.095574,993.40,10
slavic1,uniform,0.30,0.000,Peloponnese,0.862955,0.074187,102.00,10
slavic1,uniform,0.30,0.000,Albanian Highlands,0.837360,0.178471,318.80,10
slavic1,uniform,0.30,0.000,Adriatic Coastal,0.782906,0.188199,197.00,10
slavic1,uniform,0.30,0.000,Lower Danubian Frontier,0.891950,0.040937,689.10,10
slavic1,uniform,0.30,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.005,Carpatho-Balkan Interior,0.490014,0.076400,2427.80,10
slavic1,uniform,0.30,0.005,Pannonian Plain,0.565617,0.209961,485.90,10
slavic1,uniform,0.30,0.005,Aegean Littoral,0.387902,0.156743,793.40,10
slavic1,uniform,0.30,0.005,Peloponnese,0.351231,0.309995,88.30,10
slavic1,uniform,0.30,0.005,Albanian Highlands,0.718005,0.221372,224.30,10
slavic1,uniform,0.30,0.005,Adriatic Coastal,0.720794,0.229858,169.80,10
slavic1,uniform,0.30,0.005,Lower Danubian Frontier,0.894252,0.087331,634.40,10
slavic1,uniform,0.30,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.015,Carpatho-Balkan Interior,0.246522,0.117910,2404.90,10
slavic1,uniform,0.30,0.015,Pannonian Plain,0.391347,0.242465,426.40,10
slavic1,uniform,0.30,0.015,Aegean Littoral,0.042963,0.057519,850.90,10
slavic1,uniform,0.30,0.015,Peloponnese,0.025152,0.036224,84.50,10
slavic1,uniform,0.30,0.015,Albanian Highlands,0.105879,0.205027,248.90,10
slavic1,uniform,0.30,0.015,Adriatic Coastal,0.124391,0.244413,155.20,10
slavic1,uniform,0.30,0.015,Lower Danubian Frontier,0.839399,0.115152,581.40,10
slavic1,uniform,0.30,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.030,Carpatho-Balkan Interior,0.149002,0.104289,2455.20,10
slavic1,uniform,0.30,0.030,Pannonian Plain,0.198421,0.189927,422.60,10
slavic1,uniform,0.30,0.030,Aegean Littoral,0.002037,0.002613,845.40,10
slavic1,uniform,0.30,0.030,Peloponnese,0.001439,0.004550,119.40,10
slavic1,uniform,0.30,0.030,Albanian Highlands,0.000000,0.000000,242.70,10
slavic1,uniform,0.30,0.030,Adriatic Coastal,0.001471,0.004650,190.40,10
slavic1,uniform,0.30,0.030,Lower Danubian Frontier,0.829089,0.083604,702.00,10
slavic1,uniform,0.30,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,uniform,0.30,0.045,Carpatho-Balkan Interior,0.098699,0.073897,2368.80,10
slavic1,uniform,0.30,0.045,Pannonian Plain,0.140241,0.191193,432.70,10
slavic1,uniform,0.30,0.045,Aegean Littoral,0.000000,0.000000,882.70,10
slavic1,uniform,0.30,0.045,Peloponnese,0.000000,0.000000,118.80,10
slavic1,uniform,0.30,0.045,Albanian Highlands,0.000000,0.000000,277.20,10
